time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:52.283891,2148,1631296372,283494710,,141,96,95,97
2021/09/10/13:52:52.300032,2149,1631296372,299450159,,142,98,96,98
2021/09/10/13:52:52.325674,2150,1631296372,325368881,,143,98,96,98
2021/09/10/13:52:52.341632,2151,1631296372,341255426,,144,98,96,98
2021/09/10/13:52:52.358263,2152,1631296372,357333421,,145,98,96,98
2021/09/10/13:52:52.384592,2153,1631296372,384212732,,146,98,96,98
2021/09/10/13:52:52.400652,2154,1631296372,400227546,,147,98,96,98
2021/09/10/13:52:52.426517,2155,1631296372,426143169,,148,100,106,102
2021/09/10/13:52:52.442447,2156,1631296372,442093133,,149,100,106,102
2021/09/10/13:52:52.458995,2157,1631296372,458231210,,150,100,106,102
2021/09/10/13:52:52.484492,2158,1631296372,484012126,,151,100,106,102
2021/09/10/13:52:52.500409,2159,1631296372,500000953,,152,100,106,102
2021/09/10/13:52:52.526242,2160,1631296372,525958776,,153,104,106,102
2021/09/10/13:52:52.542460,2161,1631296372,541971921,,154,104,101,102
2021/09/10/13:52:52.558650,2162,1631296372,558022260,,155,104,101,102
2021/09/10/13:52:52.584278,2163,1631296372,583864212,,156,104,101,102
2021/09/10/13:52:52.600634,2164,1631296372,599917411,,157,104,101,102
2021/09/10/13:52:52.626105,2165,1631296372,625775337,,158,104,101,102
2021/09/10/13:52:52.642112,2166,1631296372,641780138,,159,105,101,102
2021/09/10/13:52:52.658674,2167,1631296372,657870769,,160,105,101,103
2021/09/10/13:52:52.684031,2168,1631296372,683674573,,161,105,101,103
2021/09/10/13:52:52.700197,2169,1631296372,699704170,,162,105,101,103
2021/09/10/13:52:52.726033,2170,1631296372,725631475,,163,105,101,103
2021/09/10/13:52:52.741924,2171,1631296372,741613149,,164,105,101,103
2021/09/10/13:52:52.758300,2172,1631296372,757661819,,165,107,101,104
2021/09/10/13:52:52.784035,2173,1631296372,783579587,,166,107,102,104
2021/09/10/13:52:52.800213,2174,1631296372,799508810,,167,107,102,104
2021/09/10/13:52:52.825998,2175,1631296372,825500011,,168,107,102,104
2021/09/10/13:52:52.841858,2176,1631296372,841383934,,169,107,102,104
2021/09/10/13:52:52.858420,2177,1631296372,857572317,,170,107,102,104
2021/09/10/13:52:52.884803,2178,1631296372,884371280,,171,107,105,102
2021/09/10/13:52:52.900689,2179,1631296372,900337457,,172,107,105,102
2021/09/10/13:52:52.926556,2180,1631296372,926192760,,173,107,105,102
2021/09/10/13:52:52.942481,2181,1631296372,942182779,,174,107,105,102
2021/09/10/13:52:52.958902,2182,1631296372,958222389,,175,107,105,102
2021/09/10/13:52:52.984361,2183,1631296372,984066009,,176,106,105,102
2021/09/10/13:52:53.000611,2184,1631296373,148057,,177,106,103,103
2021/09/10/13:52:53.026632,2185,1631296373,26024103,,178,106,103,103
2021/09/10/13:52:53.042289,2186,1631296373,41953802,,179,106,103,103
2021/09/10/13:52:53.058787,2187,1631296373,58095455,,180,106,103,103
2021/09/10/13:52:53.084199,2188,1631296373,83950757,,181,108,103,103
2021/09/10/13:52:53.100411,2189,1631296373,99887132,,182,108,103,103
2021/09/10/13:52:53.126136,2190,1631296373,125841379,,183,108,106,105
2021/09/10/13:52:53.142566,2191,1631296373,141857147,,184,108,106,105
2021/09/10/13:52:53.158509,2192,1631296373,157933950,,185,108,106,105
2021/09/10/13:52:53.184099,2193,1631296373,183745145,,186,108,106,105
2021/09/10/13:52:53.200373,2194,1631296373,199755191,,187,109,106,105
2021/09/10/13:52:53.225917,2195,1631296373,225643873,,188,109,106,109
2021/09/10/13:52:53.242060,2196,1631296373,241636514,,189,109,106,109
2021/09/10/13:52:53.258617,2197,1631296373,257676124,,190,109,106,109
2021/09/10/13:52:53.283960,2198,1631296373,283586978,,191,109,106,109
2021/09/10/13:52:53.300447,2199,1631296373,299618482,,192,109,106,109
2021/09/10/13:52:53.325843,2200,1631296373,325457334,,193,109,106,109
2021/09/10/13:52:53.341875,2201,1631296373,341406106,,194,109,105,108
2021/09/10/13:52:53.358195,2202,1631296373,357641220,,195,109,105,108
2021/09/10/13:52:53.384649,2203,1631296373,384350061,,196,109,105,108
2021/09/10/13:52:53.401524,2204,1631296373,400330543,,197,109,105,108
2021/09/10/13:52:53.426590,2205,1631296373,426263570,,198,110,105,108
2021/09/10/13:52:53.442416,2206,1631296373,442170381,,199,110,109,107
2021/09/10/13:52:53.458656,2207,1631296373,458259105,,200,110,109,107
